date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,symbol
2016-11-21,89645.70398,33,0,0.014474,3502,25,GNT
2016-11-22,129613.1039,44,0,0.013232,5432,38,GNT
2016-11-23,236489.5974,45,0,0.013517,3195,34,GNT
2016-11-24,41686.63869,15,0,0.010432,2005,17,GNT
2016-11-25,31338.13063,30,0,0.011455,2647,15,GNT
2016-11-26,86161.85688,51,0,0.011125,4503,39,GNT
2016-11-27,65982.49729,47,0,0.01287,4344,42,GNT
2016-11-28,44962.77551,34,0,0.012357,5409,23,GNT
2016-11-29,60986.11536,36,0,0.011774,8551,30,GNT
2016-11-30,261302.9789,50,9032630,0.013264,17847,29,GNT
2016-12-01,15028.33425,38,9083710,0.013339,8438,37,GNT
2016-12-02,29669.40787,23,8779020,0.012891,11623,24,GNT
2016-12-03,22180.99308,13,8641320,0.012689,8153,18,GNT
2016-12-04,61173.44486,32,8609520,0.012642,6976,29,GNT
2016-12-05,26383.38853,25,8669380,0.01273,10143,21,GNT
2016-12-06,41978.45218,30,7768070,0.011407,9546,28,GNT
2016-12-07,40003.3452,35,8129270,0.011937,11337,29,GNT
2016-12-08,136174.3814,30,6919460,0.010161,18659,21,GNT
2016-12-09,5803.268926,15,7071190,0.010383,16687,19,GNT
2016-12-10,25949.2889,29,6825960,0.010023,7327,24,GNT
2016-12-11,17127.71943,21,7504450,0.01102,10554,16,GNT
2016-12-12,18956.08512,29,7207320,0.010583,12717,22,GNT
2016-12-13,32956.66462,35,7880910,0.011572,27719,31,GNT
2016-12-14,67222.74387,37,7746950,0.011376,16963,27,GNT
2016-12-15,38057.42923,31,8820900,0.012953,9187,29,GNT
2016-12-16,2188.336935,11,7960250,0.011689,10131,14,GNT
2016-12-17,20618.19,5,7886020,0.01158,4715,10,GNT
2016-12-18,18517.45493,24,7963450,0.011694,8249,21,GNT
2016-12-19,24725.15923,16,8256620,0.012124,5513,18,GNT
2016-12-20,16051.95033,23,7290810,0.010706,15231,26,GNT
2016-12-21,44197.68138,27,8065190,0.011843,11776,25,GNT
2016-12-22,39193.91171,40,8203160,0.012046,10742,36,GNT
2016-12-23,24203.93962,16,8186950,0.012022,7827,18,GNT
2016-12-24,1898.9162,5,8152630,0.011971,4192,5,GNT
2016-12-25,5005.028627,14,7173540,0.010534,9295,11,GNT
2016-12-26,7771.729608,12,7805250,0.011461,7226,14,GNT
2016-12-27,12486.63429,50,7656310,0.011243,9281,25,GNT
2016-12-28,51004.9098,41,7897730,0.011597,9808,29,GNT
2016-12-29,20419.6053,29,7258130,0.010658,7877,22,GNT
2016-12-30,42841.84961,46,7281140,0.010692,16833,22,GNT
2016-12-31,12941.66575,26,6997030,0.010275,11473,21,GNT
2017-01-01,61204.6246,34,6628520,0.009733,22571,24,GNT
2017-01-02,43423.29536,23,6721990,0.009871,5705,22,GNT
2017-01-03,41515.80414,52,6716870,0.009863,19084,36,GNT
2017-01-04,24512.63803,41,7339230,0.010777,13233,34,GNT
2017-01-05,16268.29945,29,8580440,0.0126,10133,21,GNT
2017-01-06,97924.08649,77,7373960,0.010828,16558,51,GNT
2017-01-07,93425.16187,40,7754380,0.011387,26106,32,GNT
2017-01-08,163672.8713,73,8112520,0.011912,22878,50,GNT
2017-01-09,96046.84893,71,8034140,0.011797,17309,43,GNT
2017-01-10,91406.2459,87,8511120,0.012498,27855,57,GNT
2017-01-11,73740.56012,70,9867820,0.01449,26417,58,GNT
2017-01-12,186580.5977,128,9397310,0.013799,36116,92,GNT
2017-01-13,540213.7879,154,11130500,0.016344,62032,112,GNT
2017-01-14,77991.99535,74,11995600,0.017615,20679,55,GNT
2017-01-15,75008.18746,83,11229600,0.01649,16802,43,GNT
2017-01-16,26390.99505,28,11101600,0.016302,9630,30,GNT
2017-01-17,39013.12212,39,10102200,0.014834,28310,38,GNT
2017-01-18,29575.58324,35,11898500,0.017472,14269,25,GNT
2017-01-19,89562.67073,71,12164400,0.017862,27937,38,GNT
2017-01-20,208539.2508,76,14581600,0.017782,31084,51,GNT
2017-01-21,137672.0714,156,16005400,0.019519,117673,93,GNT
2017-01-22,166314.0579,78,19286600,0.02352,31493,57,GNT
2017-01-23,777709.175,173,18942200,0.0231,104101,111,GNT
2017-01-24,772738.7968,204,21951400,0.02677,74390,127,GNT
2017-01-25,474382.1386,189,22691400,0.027672,170178,130,GNT
2017-01-26,815205.9139,131,23844000,0.029078,69199,95,GNT
2017-01-27,834639.8101,143,24014000,0.029285,68686,108,GNT
2017-01-28,553340.7301,87,23474500,0.028627,72625,76,GNT
2017-01-29,89124.38745,56,24021900,0.029295,64261,50,GNT
2017-01-30,213764.5139,87,24226200,0.029544,72558,71,GNT
2017-01-31,278217.6477,83,23993300,0.02926,67937,68,GNT
2017-02-01,132885.3439,75,23296200,0.02841,32048,62,GNT
2017-02-02,94073.81023,67,21897200,0.026704,22394,55,GNT
2017-02-03,82716.50997,65,18686700,0.022789,31612,56,GNT
2017-02-04,94947.73833,57,19815700,0.024165,22344,49,GNT
2017-02-05,181270.7216,80,22495400,0.027433,52924,65,GNT
2017-02-06,70696.68899,49,24431200,0.029794,46414,48,GNT
