,close,high,low,open,time,volumefrom,volumeto,timestamp
0,53.65,53.75,50.31,50.85,1527696000,67241.09,3515462.73,2018-05-30 12:00:00
1,53.71,56.19,52.6,53.65,1527782400,130605.45,7069471.85,2018-05-31 12:00:00
2,56.25,57.56,53.43,53.71,1527868800,144153.78,8067100.67,2018-06-01 12:00:00
3,57.38,58.28,55.81,56.25,1527955200,111781.19,6376282.37,2018-06-02 12:00:00
4,53.32,57.48,52.27,57.38,1528041600,131688.39,7254731.85,2018-06-03 12:00:00
5,53.41,54.11,51.84,53.31,1528128000,92563.66,4884294.49,2018-06-04 12:00:00
6,54.41,55.02,53.41,53.41,1528214400,71669.31,3890010.47,2018-06-05 12:00:00
7,53.67,54.94,52.58,54.4,1528300800,73411.62,3948836.75,2018-06-06 12:00:00
8,52.56,53.95,51.83,53.67,1528387200,68656.5,3620206.83,2018-06-07 12:00:00
9,52.22,53.28,51.97,52.56,1528473600,44968.65,2367619.82,2018-06-08 12:00:00
10,48.71,52.36,48.26,52.22,1528560000,103862.36,5162583.2,2018-06-09 12:00:00
11,43.13,48.79,42.89,48.71,1528646400,221658.6,10029399.54,2018-06-10 12:00:00
12,43.78,46.49,42.55,43.13,1528732800,124195.09,5539315.32,2018-06-11 12:00:00
13,37.17,43.78,37.09,43.78,1528819200,202570.83,8155318.67,2018-06-12 12:00:00
14,37.66,40.71,35.76,37.17,1528905600,244108.38,9368766.02,2018-06-13 12:00:00
15,39.43,41.96,37.61,37.66,1528992000,131091.2,5267378.28,2018-06-14 12:00:00
16,36.63,40.04,36.4,39.43,1529078400,56656.54,2145245.21,2018-06-15 12:00:00
17,38.12,38.44,36.43,36.63,1529164800,89047.28,3367932.6,2018-06-16 12:00:00
18,37.54,39.72,36.87,38.12,1529251200,70357.28,2674547.4,2018-06-17 12:00:00
19,39.87,41.44,37.5,37.54,1529337600,202173.13,8035918.56,2018-06-18 12:00:00
20,39.02,39.97,37.51,39.87,1529424000,96612.63,3710245.15,2018-06-19 12:00:00
21,37.74,39.67,37.5,39.02,1529510400,84703.84,3254300.17,2018-06-20 12:00:00
22,33.77,37.92,32.98,37.74,1529596800,188537.01,6637357.27,2018-06-21 12:00:00
23,32.98,34.4,32.13,33.77,1529683200,116310.55,3862722.73,2018-06-22 12:00:00
24,28.88,34.73,28.82,32.98,1529769600,257877.27,8178701.01,2018-06-23 12:00:00
25,32.21,32.82,28.63,28.88,1529856000,173005.65,5427683.04,2018-06-24 12:00:00
26,30.96,32.62,30.06,32.21,1529942400,72579.61,2252351.58,2018-06-25 12:00:00
27,29.9,31.65,29.44,30.96,1530028800,88020.04,2653385.62,2018-06-26 12:00:00
28,30.07,30.57,29.71,29.9,1530115200,53237.22,1607136.08,2018-06-27 12:00:00
29,28.26,30.35,27.06,30.07,1530201600,154971.96,4369418.4,2018-06-28 12:00:00
30,30.69,32.09,27.8,28.26,1530288000,214714.34,6528114.2,2018-06-29 12:00:00
31,31.05,31.4,29.68,30.69,1530374400,151937.61,4630975.39,2018-06-30 12:00:00
32,36.27,37.18,30.56,31.05,1530460800,398973.62,13536033.36,2018-07-01 12:00:00
33,36.36,38.86,35.45,36.27,1530547200,553156.06,20451292.03,2018-07-02 12:00:00
34,38.6,40.36,34.87,36.36,1530633600,572651.26,21717228.71,2018-07-03 12:00:00
35,41.74,48.43,38.22,38.6,1530720000,932410.64,39098151.29,2018-07-04 12:00:00
36,37.64,42.33,36.86,41.74,1530806400,440095.0,17184933.54,2018-07-05 12:00:00
37,36.68,38.15,36.18,37.64,1530892800,174238.31,6472459.09,2018-07-06 12:00:00
38,39.65,40.99,36.31,36.68,1530979200,319154.27,12510922.39,2018-07-07 12:00:00
39,38.49,40.17,37.79,39.65,1531065600,151208.75,5867456.42,2018-07-08 12:00:00
40,34.27,38.59,32.81,38.49,1531152000,472401.39,16716685.97,2018-07-09 12:00:00
41,33.37,35.08,31.91,34.27,1531238400,272355.75,9143424.95,2018-07-10 12:00:00
