symbol,Date,Open,High,Low,Close,Volume,Market Cap
OMG,2018-02-20,17.72,20.2,17.71,18.4,"109,202,000",1808000000.00
OMG,2018-02-19,16.49,18.37,16.32,17.69,"54,814,700",1682870000.00
OMG,2018-02-18,18.32,18.41,16.35,16.66,"42,287,800",1869770000.00
OMG,2018-02-17,18.17,18.64,17.69,18.29,"59,295,600",1853770000.00
OMG,2018-02-16,16.67,18.23,16.03,18.17,"81,337,500",1701370000.00
OMG,2018-02-15,15.63,16.71,14.99,16.67,"54,142,700",1594790000.00
OMG,2018-02-14,12.97,15.72,12.97,15.66,"91,650,800",1323570000.00
OMG,2018-02-13,12.88,13.06,12.31,12.99,"23,326,000",1314360000.00
OMG,2018-02-12,11.95,13,11.93,12.84,"24,588,600",1219240000.00
OMG,2018-02-11,12.54,12.67,11.06,11.86,"29,981,600",1279750000.00
OMG,2018-02-10,13.2,13.88,11.93,12.51,"43,385,500",1346830000.00
OMG,2018-02-09,12.21,13.21,11.56,13.2,"41,973,800",1246080000.00
OMG,2018-02-08,10.88,12.26,10.88,11.89,"31,563,700",1110480000.00
OMG,2018-02-07,11.32,12.55,10.17,10.9,"36,639,600",1155150000.00
OMG,2018-02-06,9.31,11.39,7.39,11.37,"56,968,000",949742000.00
OMG,2018-02-05,11.92,12.68,8.75,9.27,"45,236,500",1216630000.00
OMG,2018-02-04,14.09,14.16,11.72,12.06,"36,225,800",1437590000.00
OMG,2018-02-03,13.35,14.3,12.2,14.05,"31,593,400",1362480000.00
OMG,2018-02-02,13.97,13.97,10.54,13.25,"62,454,300",1425460000.00
OMG,2018-02-01,15.85,15.95,13.25,13.99,"60,157,800",1617380000.00
OMG,2018-01-31,14.9,15.85,14.16,15.74,"71,504,300",1520480000.00
OMG,2018-01-30,16.89,17.86,14.67,14.92,"96,893,300",1723530000.00
OMG,2018-01-29,17.15,17.35,16.04,16.91,"46,635,600",1750090000.00
OMG,2018-01-28,16.06,17.29,15.77,17.09,"83,798,900",1638530000.00
OMG,2018-01-27,16.6,16.77,15.79,15.98,"99,130,000",1693910000.00
OMG,2018-01-26,17.93,18.58,14.93,16.58,"145,709,000",1829140000.00
OMG,2018-01-25,18.05,19.12,16.67,17.96,"79,337,500",1841760000.00
OMG,2018-01-24,16.05,18.5,15.48,17.85,"72,241,700",1637570000.00
OMG,2018-01-23,15.66,16.62,14.3,16.05,"58,931,400",1597700000.00
OMG,2018-01-22,17.14,17.96,14.22,15.66,"70,101,200",1748670000.00
OMG,2018-01-21,19.74,19.74,16.41,16.97,"55,861,100",2013840000.00
OMG,2018-01-20,18.63,19.95,18.63,19.71,"89,103,800",1901100000.00
OMG,2018-01-19,17.62,18.94,17.08,18.43,"72,477,800",1798360000.00
OMG,2018-01-18,18.23,19.45,17.16,17.73,"87,971,600",1860280000.00
OMG,2018-01-17,17.3,18.91,12.41,18.06,"114,904,000",1765470000.00
OMG,2018-01-16,22.5,22.5,13.91,17.38,"132,224,000",2296440000.00
OMG,2018-01-15,23.7,24.62,22.46,22.46,"91,802,400",2418190000.00
